Name,Cal
Baklava,230   
Beignets,452
Bibimbap,210   
Bruschetta,216 
Cannoli,254    
Caprese salad,123
Ceviche,82.5
Churros,412
Croque madame,198
Deviled eggs,207
Donuts,400
Escargots,90
Foie gras,480
Gnocchi,254
Guacamole,157
Gyoza,237
Huevos rancheros,143
Lobster bisque,116
Lobster roll sandwich,253
Macarons,384
Mussels,172
Omelette,181
Oysters,163
Pad thai,169
Paella,183
Panna cotta,319
Peking duck,241
Pho,98
Poutine,210
Ramen,135
Risotto,122
Samosa,262
Sashimi,124
Scallops,112
Sushi,174
Tacos,206
Takoyaki,130
Tiramisu,329
Tuna tartare,196
