Name,Energy
Baklava,230   
Beignets,452
Bibimbap,210   
Bruschetta,216 
Cannoli,254    
Caprese salad,123
Ceviche,82.5
Churros,412
Croque madame,198
Deviled eggs,207
Donuts,400
Escargots,90
Foie gras,480
Gnocchi,254
Guacamole,157
Gyoza,237
Huevos rancheros,143
Lobster bisque,116
Lobster roll sandwich,253
Macarons,384
Mussels,172
Omelette,181
Oysters,163
Pad thai,169
Paella,183
Panna cotta,319
Peking duck,241
Pho,98
Poutine,210
Ramen,135
Risotto,122
Samosa,262
Sashimi,124
Scallops,112
Sushi,174
Tacos,206
Takoyaki,130
Tiramisu,329
Tuna tartare,196
Apple,67
Baby,65
Beef,202
Beef,202
Beet,31
Bread,274
Breakfast,315
Caesar,90
Carrot,35
Cheesecake,413
Cheese,295
Chicken,185
Chicken,185
Chicken,185
Chocolate,474
Chocolate,474
Clam,52
Club,250
Crab,76
Creme,471
Cup,515
Dumplings,76
Edamame,116
Eggs,162
Falafel,333
Filet,118
Fish,133
French,265
French,265
French,265
Fried,245
Fried,245
Frozen,110
Garlic,88
Greek,59
Grilled,68
Grilled,68
Hamburger,256
Hot,272
Hot,272
Hummus,171
Ice,222
Lasagna,128
Macaroni,165
Miso,199
Nachos,306
Onion,42
Pancakes,248
Pizza,273
Pork,185
Prime,186
Pulled,168
Ravioli,99
Red,71
Seaweed,44
Shrimp,241
Spaghetti,124
Spaghetti,124
Spring,390
Steak,69
Strawberry,158
Waffles,278       
Baby,65        
Beef,202       
Beef,202       
Beet,31        
Bread,274      
Breakfast,315  
Caesar,90      
Carrot,35      
Cheesecake,413 
Cheese,295     
Chicken,185    
Chicken,185    
Chicken,185    
Chocolate,474  
Chocolate,474  
Clam,52        
Club,250       
Crab,76        
Creme,471      
Cup,515        
Dumplings,76   
Edamame,116    
Eggs,162       
Falafel,333    
Filet,118      
Fish,133       
French,265     
French,265     
French,265     
Fried,245      
Fried,245      
Frozen,110     
Garlic,88      
Greek,59       
Grilled,68     
Grilled,68     
Hamburger,256  
Hot,272        
Hot,272        
Hummus,171     
Ice,222        
Lasagna,128    
Macaroni,165   
Miso,199       
Nachos,306     
Onion,42       
Pancakes,248   
Pizza,273      
Pork,185       
Prime,186      
Pulled,168     
Ravioli,99     
Red,71         
Seaweed,44     
Shrimp,241     
Spaghetti,124  
Spaghetti,124  
Spring,390     
Steak,69       
Strawberry,158 
Waffles,278    
